City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Xuddur,SO,73.44,overcast clouds,4.12,43.89,Banjanay Hotel
6,Butaritari,KI,82.81,few clouds,3.07,172.79,Isles Sunset Lodge
8,Goderich,CA,81.0,scattered clouds,43.75,-81.72,Harmony Inn
11,West Bay,KY,89.01,few clouds,19.37,-81.42,Calypso Cove
12,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
18,Puerto Ayora,EC,75.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
19,Portland,US,90.0,clear sky,45.52,-122.68,Portland Marriott City Center
22,Miracema Do Tocantins,BR,89.33,few clouds,-9.56,-48.4,Miami Apart Hotel
23,Yalta,UA,75.43,few clouds,44.5,34.17,Yalta-Inturist
26,Bethel,US,81.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
30,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
33,Sinnamary,GF,81.88,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
34,Locri,IT,75.99,scattered clouds,38.24,16.26,Grand Hotel President
35,Lufilufi,WS,87.8,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
36,Hithadhoo,MV,81.72,few clouds,-0.6,73.08,Scoop Guest House
37,Ocara,BR,77.92,overcast clouds,-4.49,-38.6,Pousada familiar
39,Albany,US,73.99,overcast clouds,42.6,-73.97,
40,Kapaa,US,84.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
45,Bull Savanna,JM,82.96,light rain,17.89,-77.59,Big Red's
46,Westport,US,84.0,clear sky,41.14,-73.36,The Westport Inn
47,Atuona,PF,78.28,clear sky,-9.8,-139.03,Villa Enata
49,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
53,Hasaki,JP,79.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
60,Kavieng,PG,82.27,overcast clouds,-2.57,150.8,Nusa Island Retreat
62,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
63,Trincomalee,LK,81.59,broken clouds,8.57,81.23,Welcombe Hotel
64,Katobu,ID,73.85,scattered clouds,-4.94,122.53,La Ode Husein
65,Petatlan,MX,91.4,scattered clouds,17.52,-101.27,Hotel California Petatlán
67,Lagoa,PT,74.14,scattered clouds,39.05,-27.98,Casa Das Faias
72,Buala,SB,82.45,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
75,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
77,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
79,Lazaro Cardenas,MX,84.78,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
81,Kutum,SD,73.87,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
83,Sao Filipe,CV,79.59,light rain,14.9,-24.5,Tortuga B&B
86,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
87,Jamestown,US,75.99,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
93,Kapit,MY,74.5,light rain,2.02,112.93,Hotel Meligai Kapit
96,Tukrah,LY,76.93,clear sky,32.53,20.58,استراحة لاقروتا
97,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
104,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
105,Imaculada,BR,75.33,overcast clouds,-7.39,-37.51,kasa de karolll
107,Hami,CN,75.72,broken clouds,42.8,93.45,Laoyutang Resort
109,Puerto Carreno,CO,89.6,thunderstorm,6.19,-67.49,Casa Hotel Victoria
110,Boa Vista,BR,87.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
111,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,Hotel do Campo
112,Russell,US,95.0,clear sky,32.35,-85.2,Macs
113,Iralaya,HN,84.2,broken clouds,15.0,-83.23,Iglesia morava renovada
117,Akhmim,EG,89.6,clear sky,26.56,31.75,برج الماسة السكني
119,Bud,US,84.99,overcast clouds,39.45,-86.18,Madsion Scouts Camp
120,Itoman,JP,80.6,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
121,Bandar,ID,73.15,moderate rain,2.05,99.75,
124,Vieques,PR,84.2,thunderstorm,18.43,-65.83,"The St. Regis Bahia Beach Resort, Puerto Rico"
125,Kulachi,PK,91.06,clear sky,31.93,70.46,SHAH JAHAN MAHSUD
127,Colon,PA,86.0,moderate rain,9.36,-79.9,Sand Diamond Hotel
128,Ejura,GH,73.36,few clouds,7.39,-1.36,Fire Servece
129,Abapo,BO,81.36,overcast clouds,-18.83,-63.47,
132,Cayenne,GF,86.0,light rain,4.93,-52.33,Hôtel Le Dronmi
135,Filingue,NE,86.86,broken clouds,14.35,3.32,
136,Suez,EG,79.29,clear sky,29.97,32.53,Green House
138,Faanui,PF,78.1,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
140,Wharton,US,93.2,broken clouds,29.31,-96.1,"Countryside Inn Wharton, TX"
141,Union,US,86.0,overcast clouds,40.63,-74.27,Homewood Suites by Hilton Newark-Cranford
146,Auki,SB,81.32,light rain,-8.77,160.7,Auki Motel
147,Merauke,ID,77.65,overcast clouds,-8.47,140.33,
149,Jardim,BR,83.57,clear sky,-21.48,-56.14,Hotel Estância
151,Kendari,ID,73.2,scattered clouds,-3.94,122.5,Hotel Wixel
155,Aquiraz,BR,82.4,overcast clouds,-3.9,-38.39,Hotel Laguna Blu
158,Odweyne,SO,80.83,light rain,9.41,45.06,Eng Hiirey House
160,Half Moon Bay,US,73.99,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
162,Aswan,EG,87.94,clear sky,24.09,32.91,Nuba Nile
164,Faya,SA,73.4,clear sky,18.39,42.45,مقبرة ال مجمل
167,Kollam,IN,82.4,mist,8.88,76.6,The Raviz Ashtamudi
168,Bilma,NE,91.08,broken clouds,18.69,12.92,Expeditions Ténére voyages
169,Amahai,ID,76.57,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
174,Kavaratti,IN,82.0,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
177,Mabaruma,GY,79.29,moderate rain,8.2,-59.78,
178,Lufkin,US,82.4,few clouds,31.34,-94.73,Courtyard by Marriott Lufkin
180,Kloulklubed,PW,84.24,overcast clouds,7.04,134.26,Storyboard Beach Resort
181,Bathsheba,BB,80.6,light rain,13.22,-59.52,Atlantis Hotel
182,Sur,OM,83.57,overcast clouds,22.57,59.53,Sur Plaza Hotel
187,Oka,CA,75.0,broken clouds,45.46,-74.09,Parc national d'Oka
195,Oistins,BB,80.6,broken clouds,13.07,-59.53,Butterfly Beach Hotel
198,Mbini,GQ,78.8,scattered clouds,1.57,9.61,
199,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
200,Ujiie,JP,86.0,fog,36.68,139.97,ホテル清水荘
202,Erzin,TR,87.01,clear sky,36.96,36.2,Artemis Otel
204,Bambanglipuro,ID,75.16,broken clouds,-7.95,110.28,Puri Brata
206,Cabo San Lucas,MX,89.6,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
208,Great Bend,US,84.0,clear sky,38.36,-98.76,Best Western Angus Inn
210,Hambantota,LK,80.51,few clouds,6.12,81.12,Bungalow 63
213,Carora,VE,87.62,light rain,10.18,-70.08,Hotel Irpinia
214,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
215,Bengkulu,ID,75.97,light rain,-3.8,102.27,Grage Hotel Bengkulu
218,Isla Vista,US,84.99,haze,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
219,Pitsunda,GE,75.0,few clouds,43.16,40.34,Hotel FREEDOM
220,Vila Velha,BR,80.01,few clouds,-20.33,-40.29,Hotel Vitória Palace
223,Champerico,GT,80.6,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
226,Ugoofaaru,MV,81.36,moderate rain,5.67,73.0,Ungoofaaru Inn
229,Sao Joao Da Barra,BR,77.0,clear sky,-21.64,-41.05,Pousada Porto De Canoas
230,Matara,LK,78.64,scattered clouds,5.95,80.54,Amaloh Boutique Resort
231,Rabo De Peixe,PT,73.4,broken clouds,37.8,-25.58,Quinta das Giestas
232,Meulaboh,ID,75.74,overcast clouds,4.14,96.13,Kost Pria
233,Nizwa,OM,86.02,overcast clouds,22.93,57.53,Orient Apartments
234,Korla,CN,84.0,overcast clouds,41.76,86.15,Gulisitan Hotel
239,Anacortes,US,77.0,clear sky,48.51,-122.61,Anaco Bay Inn
243,Garissa,KE,73.96,clear sky,-0.45,39.64,Sharif Plaza Hotel
244,Chikhli,IN,74.16,clear sky,20.35,76.25,Madarsa Block
247,Sao Jose Da Coroa Grande,BR,74.84,broken clouds,-8.9,-35.15,Crôa Mares Hotel
251,Puerto Gaitan,CO,87.64,light rain,4.31,-72.08,Brisas del Yucao
252,Kokopo,PG,78.82,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
255,Segou,ML,78.64,overcast clouds,13.43,-6.22,Comme chez soi
259,Along,IN,73.18,overcast clouds,28.17,94.77,Hotel West
269,Lorengau,PG,82.62,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
271,Manokwari,ID,78.85,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
272,Dingle,PH,76.51,overcast clouds,11.0,122.67,Camp Pasica
273,Lata,PT,73.99,clear sky,40.16,-8.33,Casa Maquia
274,Rosarito,MX,80.6,few clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
277,Qui Nhon,VN,78.57,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
278,Najran,SA,80.6,clear sky,17.49,44.13,محمد هادي ال فطيح
281,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
283,Jalu,LY,89.67,clear sky,29.03,21.55,Jalu Hotel
285,Almaznyy,RU,78.8,clear sky,48.04,40.05,
286,Sibolga,ID,76.44,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
289,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
290,Intipuca,SV,85.75,overcast clouds,13.2,-88.05,hotel familiar Fco
291,Aleksandrovka,UA,77.0,overcast clouds,46.84,32.76,
293,Port Hawkesbury,CA,73.4,overcast clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
