City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,44.6,75,40,9.17,scattered clouds
1,Klaksvik,FO,62.23,-6.59,51.8,93,59,16.11,light rain
2,Xuddur,SO,4.12,43.89,73.44,65,95,20.58,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,39.2,86,75,11.41,light intensity drizzle
4,Mocuba,MZ,-16.84,36.99,63.16,74,0,4.05,clear sky
5,Bourg-En-Bresse,FR,46.17,5.17,64.0,68,73,1.01,broken clouds
6,Butaritari,KI,3.07,172.79,82.81,66,21,1.48,few clouds
7,Airai,TL,-8.93,125.41,58.55,69,16,3.4,few clouds
8,Goderich,CA,43.75,-81.72,81.0,66,32,23.49,scattered clouds
9,Castro,BR,-24.79,-50.01,67.77,70,0,5.14,clear sky
10,Lumsden,CA,50.65,-104.87,68.0,37,75,25.28,broken clouds
11,West Bay,KY,19.37,-81.42,89.01,79,20,15.55,few clouds
12,Ribeira Grande,PT,38.52,-28.7,75.2,73,40,2.24,scattered clouds
13,New Norfolk,AU,-42.78,147.06,46.99,75,87,1.99,overcast clouds
14,Luderitz,NA,-26.65,15.16,57.63,53,0,2.8,clear sky
15,Shuangcheng,CN,45.35,126.28,59.0,93,75,29.08,light rain
16,Biloela,AU,-24.42,150.5,63.3,86,91,3.96,light rain
17,Dikson,RU,73.51,80.55,40.75,93,100,12.66,overcast clouds
18,Puerto Ayora,EC,-0.74,-90.35,75.2,60,20,17.22,few clouds
19,Portland,US,45.52,-122.68,90.0,48,0,1.01,clear sky
20,Rikitea,PF,-23.12,-134.97,72.19,84,0,9.78,clear sky
21,Busselton,AU,-33.65,115.33,59.0,76,86,10.4,overcast clouds
22,Miracema Do Tocantins,BR,-9.56,-48.4,89.33,18,24,3.62,few clouds
23,Yalta,UA,44.5,34.17,75.43,68,24,2.62,few clouds
24,Khatanga,RU,71.97,102.5,41.85,84,100,15.93,overcast clouds
25,Yulara,AU,-25.24,130.99,57.2,30,72,9.17,broken clouds
26,Bethel,US,41.37,-73.41,81.0,42,1,8.05,clear sky
27,Rocha,UY,-34.48,-54.33,50.2,83,67,7.25,broken clouds
28,Nikolskoye,RU,59.7,30.79,64.0,88,75,4.47,light intensity shower rain
29,Bilibino,RU,68.05,166.44,35.08,81,32,4.0,scattered clouds
30,Victoria,HK,22.29,114.16,84.0,79,80,4.9,broken clouds
31,Rundu,NA,-17.93,19.77,70.07,42,45,5.23,scattered clouds
32,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
33,Sinnamary,GF,5.38,-52.95,81.88,76,0,11.03,clear sky
34,Locri,IT,38.24,16.26,75.99,64,40,3.36,scattered clouds
35,Lufilufi,WS,-13.87,-171.6,87.8,70,75,3.36,broken clouds
36,Hithadhoo,MV,-0.6,73.08,81.72,78,15,13.91,few clouds
37,Ocara,BR,-4.49,-38.6,77.92,62,99,8.48,overcast clouds
38,Opuwo,NA,-18.06,13.84,63.45,29,0,4.65,clear sky
39,Albany,US,42.6,-73.97,73.99,67,99,2.04,overcast clouds
40,Kapaa,US,22.08,-159.32,84.2,66,20,12.75,few clouds
41,Leningradskiy,RU,69.38,178.42,35.56,92,100,1.25,overcast clouds
42,Cape Town,ZA,-33.93,18.42,57.0,93,98,4.7,overcast clouds
43,Vaini,TO,-21.2,-175.2,71.6,78,20,16.11,few clouds
44,Bluff,NZ,-46.6,168.33,45.0,72,100,11.01,overcast clouds
45,Bull Savanna,JM,17.89,-77.59,82.96,74,67,12.39,light rain
46,Westport,US,41.14,-73.36,84.0,51,1,11.41,clear sky
47,Atuona,PF,-9.8,-139.03,78.28,77,5,19.71,clear sky
48,Carnarvon,AU,-24.87,113.63,62.6,93,0,12.75,clear sky
49,Georgetown,MY,5.41,100.34,80.6,88,20,3.36,few clouds
50,Vestmanna,FO,62.16,-7.17,51.8,93,70,16.11,light rain
51,Yellowknife,CA,62.46,-114.35,51.8,49,40,5.82,scattered clouds
