City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2020-08-31 00:51:52,63.44,-20.27,52.29,94,100,33.13
1,Pingshan,CN,2020-08-31 00:51:53,22.99,114.71,85.55,73,41,2.55
2,Cidreira,BR,2020-08-31 00:51:25,-30.18,-50.21,55.8,87,100,9.13
3,Bethel,US,2020-08-31 00:48:40,41.37,-73.41,68.0,56,1,4.7
4,Kruisfontein,ZA,2020-08-31 00:51:53,-34.0,24.73,42.03,82,0,7.07
5,Jamestown,US,2020-08-31 00:48:38,42.1,-79.24,62.6,72,1,5.82
6,Maceio,BR,2020-08-31 00:51:54,-9.67,-35.74,71.6,100,75,2.24
7,Ushuaia,AR,2020-08-31 00:51:54,-54.8,-68.3,28.4,92,90,24.16
8,Yellowknife,CA,2020-08-31 00:51:33,62.46,-114.35,53.6,54,20,12.75
9,Airai,TL,2020-08-31 00:51:54,-8.93,125.41,71.74,60,0,7.23
10,Esperance,AU,2020-08-31 00:51:55,-33.87,121.9,50.0,81,0,16.11
11,Qaanaaq,GL,2020-08-31 00:51:55,77.48,-69.36,28.87,82,0,5.5
12,Bredasdorp,ZA,2020-08-31 00:51:55,-34.53,20.04,44.6,75,0,10.29
13,Verkhovazhye,RU,2020-08-31 00:51:56,60.75,42.05,45.55,95,100,0.92
14,Broome,US,2020-08-31 00:51:56,42.25,-75.83,61.0,63,1,9.17
15,Hobart,AU,2020-08-31 00:49:49,-42.88,147.33,51.01,49,20,11.41
16,Chokurdakh,RU,2020-08-31 00:48:42,70.63,147.92,45.86,70,99,8.63
17,Punta Arenas,CL,2020-08-31 00:51:57,-53.15,-70.92,32.0,90,16,13.87
18,Dawei,MM,2020-08-31 00:51:57,14.08,98.2,80.85,83,49,1.3
19,Havelock,US,2020-08-31 00:51:57,34.88,-76.9,80.01,69,20,5.82
20,San Carlos De Bariloche,AR,2020-08-31 00:51:58,-41.15,-71.31,35.6,74,19,2.24
21,Margate,GB,2020-08-31 00:51:58,51.38,1.39,61.0,74,100,5.01
